Target,Fase,Modelo,Accuracy,Precision,Recall,F1,AUC-ROC,PR-AUC,Sensitivity,Specificity,Info,Tiempo_seg,Tecnica
MORTALIDAD,GridSearch,XGBoost,0.9514,0.1406,0.3934,0.2071,0.8956,0.1401,0.3934,0.9605,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",40.2,ADASYN
MORTALIDAD,GridSearch,RandomForest,0.9616,0.1431,0.2763,0.1885,0.8911,0.1224,0.2763,0.9729,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 200}",103.8,ADASYN
MORTALIDAD,GridSearch,GradientBoosting,0.9503,0.1402,0.4054,0.2083,0.8955,0.1429,0.4054,0.9592,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",247.1,ADASYN
MORTALIDAD,GridSearch,LogisticRegression,0.9243,0.1138,0.5435,0.1881,0.889,0.1251,0.5435,0.9306,"{'C': 0.1, 'penalty': 'l1'}",6.3,ADASYN
MORTALIDAD,GridSearch,GaussianNB,0.8325,0.0622,0.6667,0.1138,0.8425,0.1992,0.6667,0.8352,{'var_smoothing': 1e-07},5.0,ADASYN
MORTALIDAD,GridSearch,ExtraTrees,0.9612,0.1321,0.2523,0.1734,0.8906,0.1184,0.2523,0.9728,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 200}",143.6,ADASYN
MORTALIDAD,GridSearch,LightGBM,0.9489,0.1377,0.4114,0.2063,0.8945,0.1368,0.4114,0.9577,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'num_leaves': 15}",39.7,ADASYN
UCI,GridSearch,XGBoost,0.9425,0.1484,0.3851,0.2143,0.8753,0.1449,0.3851,0.9541,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",10.2,ADASYN
UCI,GridSearch,RandomForest,0.9583,0.122,0.1689,0.1416,0.8841,0.1231,0.1689,0.9747,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'n_estimators': 100}",27.1,ADASYN
UCI,GridSearch,GradientBoosting,0.9412,0.13,0.3311,0.1867,0.8738,0.1375,0.3311,0.9539,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",47.6,ADASYN
UCI,GridSearch,LogisticRegression,0.9357,0.1383,0.4122,0.2071,0.8745,0.1212,0.4122,0.9466,"{'C': 0.01, 'penalty': 'l2'}",1.8,ADASYN
UCI,GridSearch,GaussianNB,0.8645,0.0777,0.5203,0.1352,0.8309,0.1789,0.5203,0.8716,{'var_smoothing': 1e-06},1.6,ADASYN
UCI,GridSearch,ExtraTrees,0.9483,0.1524,0.3378,0.2101,0.8774,0.121,0.3378,0.9609,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 100}",32.0,ADASYN
UCI,GridSearch,LightGBM,0.9437,0.1324,0.3176,0.1869,0.8645,0.1312,0.3176,0.9567,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'num_leaves': 15}",12.1,ADASYN
MORTALIDAD,Baseline,XGBoost,0.9245,0.1174,0.5646,0.1944,0.8988,0.1498,0.5646,0.9304,Params fijos,,RandomOverSampler
MORTALIDAD,Baseline,RandomForest,0.9474,0.1314,0.4024,0.1981,0.8963,0.1316,0.4024,0.9564,Params fijos,,RandomOverSampler
MORTALIDAD,Baseline,GradientBoosting,0.9258,0.116,0.5435,0.1911,0.8974,0.1347,0.5435,0.932,Params fijos,,RandomOverSampler
MORTALIDAD,Baseline,LogisticRegression,0.9256,0.1166,0.5495,0.1924,0.8923,0.1333,0.5495,0.9317,Params fijos,,RandomOverSampler
MORTALIDAD,Baseline,GaussianNB,0.8435,0.0617,0.6126,0.1122,0.8369,0.211,0.6126,0.8473,Params fijos,,RandomOverSampler
MORTALIDAD,Baseline,ExtraTrees,0.957,0.1305,0.2943,0.1808,0.8877,0.1152,0.2943,0.9678,Params fijos,,RandomOverSampler
MORTALIDAD,Baseline,LightGBM,0.9256,0.1195,0.5676,0.1975,0.8978,0.1357,0.5676,0.9314,Params fijos,,RandomOverSampler
UCI,Baseline,XGBoost,0.9228,0.1155,0.4189,0.181,0.8708,0.1236,0.4189,0.9333,Params fijos,,RandomOverSampler
UCI,Baseline,RandomForest,0.9445,0.1368,0.3243,0.1924,0.8817,0.1266,0.3243,0.9574,Params fijos,,RandomOverSampler
UCI,Baseline,GradientBoosting,0.9283,0.1186,0.3919,0.1821,0.8684,0.1192,0.3919,0.9395,Params fijos,,RandomOverSampler
UCI,Baseline,LogisticRegression,0.9271,0.127,0.4392,0.197,0.8709,0.1172,0.4392,0.9372,Params fijos,,RandomOverSampler
UCI,Baseline,GaussianNB,0.8803,0.0723,0.4122,0.123,0.8353,0.1754,0.4122,0.89,Params fijos,,RandomOverSampler
UCI,Baseline,ExtraTrees,0.9458,0.1545,0.3716,0.2183,0.8795,0.1213,0.3716,0.9577,Params fijos,,RandomOverSampler
UCI,Baseline,LightGBM,0.925,0.1175,0.4122,0.1829,0.8703,0.1225,0.4122,0.9357,Params fijos,,RandomOverSampler
MORTALIDAD,K-Fold (5),XGBoost,0.9282,0.1142,0.509,0.1864,0.8816,0.1152,0.509,0.9351,±0.0033 (PR-AUC std),4.8,RandomOverSampler
MORTALIDAD,K-Fold (5),RandomForest,0.952,0.1322,0.3529,0.1922,0.8844,0.1161,0.3529,0.9619,±0.0031 (PR-AUC std),5.2,RandomOverSampler
MORTALIDAD,K-Fold (5),GradientBoosting,0.93,0.1129,0.4865,0.1832,0.8769,0.1091,0.4865,0.9372,±0.0059 (PR-AUC std),24.3,RandomOverSampler
MORTALIDAD,K-Fold (5),LogisticRegression,0.9263,0.114,0.5263,0.1874,0.8821,0.1238,0.5263,0.9328,±0.0138 (PR-AUC std),4.3,RandomOverSampler
MORTALIDAD,K-Fold (5),GaussianNB,0.8305,0.0587,0.6209,0.107,0.8296,0.1907,0.6209,0.834,±0.0110 (PR-AUC std),4.0,RandomOverSampler
MORTALIDAD,K-Fold (5),ExtraTrees,0.9598,0.1306,0.2628,0.1743,0.882,0.1081,0.2628,0.9712,±0.0051 (PR-AUC std),5.1,RandomOverSampler
MORTALIDAD,K-Fold (5),LightGBM,0.928,0.1161,0.5226,0.1899,0.8815,0.115,0.5226,0.9347,±0.0021 (PR-AUC std),5.7,RandomOverSampler
UCI,K-Fold (5),XGBoost,0.9273,0.1299,0.4494,0.2015,0.8599,0.1224,0.4494,0.9372,±0.0185 (PR-AUC std),1.8,RandomOverSampler
UCI,K-Fold (5),RandomForest,0.9474,0.1548,0.3501,0.2145,0.8748,0.1302,0.3501,0.9599,±0.0280 (PR-AUC std),1.8,RandomOverSampler
UCI,K-Fold (5),GradientBoosting,0.9286,0.1275,0.4275,0.1964,0.8535,0.12,0.4275,0.939,±0.0202 (PR-AUC std),6.8,RandomOverSampler
UCI,K-Fold (5),LogisticRegression,0.9282,0.1408,0.4931,0.219,0.8769,0.1357,0.4931,0.9373,±0.0164 (PR-AUC std),1.3,RandomOverSampler
UCI,K-Fold (5),GaussianNB,0.8717,0.0827,0.5251,0.1427,0.8425,0.2162,0.5251,0.879,±0.0163 (PR-AUC std),1.2,RandomOverSampler
UCI,K-Fold (5),ExtraTrees,0.9487,0.1523,0.3315,0.2086,0.8756,0.1328,0.3315,0.9616,±0.0313 (PR-AUC std),1.7,RandomOverSampler
UCI,K-Fold (5),LightGBM,0.9288,0.1323,0.4477,0.2042,0.8558,0.1219,0.4477,0.9388,±0.0204 (PR-AUC std),2.5,RandomOverSampler
MORTALIDAD,GridSearch,XGBoost,0.9241,0.1201,0.5856,0.1994,0.9029,0.1566,0.5856,0.9297,"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0}",24.1,RandomOverSampler
MORTALIDAD,GridSearch,RandomForest,0.9441,0.1384,0.4715,0.214,0.9014,0.1445,0.4715,0.9519,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'n_estimators': 100}",94.5,RandomOverSampler
MORTALIDAD,GridSearch,GradientBoosting,0.9256,0.1205,0.5736,0.1992,0.9007,0.1495,0.5736,0.9313,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",225.0,RandomOverSampler
MORTALIDAD,GridSearch,LogisticRegression,0.9256,0.1172,0.5526,0.1934,0.8925,0.1334,0.5526,0.9317,"{'C': 1.0, 'penalty': 'l1'}",5.4,RandomOverSampler
MORTALIDAD,GridSearch,GaussianNB,0.8435,0.0617,0.6126,0.1122,0.8369,0.2111,0.6126,0.8473,{'var_smoothing': 1e-05},4.3,RandomOverSampler
MORTALIDAD,GridSearch,ExtraTrees,0.9514,0.1359,0.3754,0.1995,0.8921,0.1307,0.3754,0.9608,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'n_estimators': 200}",127.7,RandomOverSampler
MORTALIDAD,GridSearch,LightGBM,0.9229,0.1187,0.5886,0.1976,0.9029,0.1527,0.5886,0.9283,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'num_leaves': 15}",28.1,RandomOverSampler
UCI,GridSearch,XGBoost,0.9289,0.1375,0.473,0.2131,0.8809,0.1456,0.473,0.9383,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",7.8,RandomOverSampler
UCI,GridSearch,RandomForest,0.9382,0.1572,0.4662,0.2351,0.8862,0.1241,0.4662,0.948,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'n_estimators': 200}",25.7,RandomOverSampler
UCI,GridSearch,GradientBoosting,0.9268,0.135,0.4797,0.2107,0.8812,0.1301,0.4797,0.9361,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",44.1,RandomOverSampler
UCI,GridSearch,LogisticRegression,0.9297,0.1303,0.4324,0.2003,0.8723,0.1236,0.4324,0.94,"{'C': 0.01, 'penalty': 'l1'}",1.7,RandomOverSampler
UCI,GridSearch,GaussianNB,0.8803,0.0723,0.4122,0.123,0.8354,0.1755,0.4122,0.89,{'var_smoothing': 1e-05},1.4,RandomOverSampler
UCI,GridSearch,ExtraTrees,0.9408,0.151,0.4122,0.221,0.8827,0.1264,0.4122,0.9518,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'n_estimators': 200}",29.9,RandomOverSampler
UCI,GridSearch,LightGBM,0.9176,0.1297,0.5338,0.2087,0.8795,0.1309,0.5338,0.9256,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'num_leaves': 15}",10.2,RandomOverSampler
MORTALIDAD,Baseline,XGBoost,0.8024,0.0659,0.8529,0.1223,0.8956,0.1308,0.8529,0.8016,Params fijos,,RandomUnderSampler
MORTALIDAD,Baseline,RandomForest,0.7604,0.0569,0.8889,0.1069,0.8944,0.1322,0.8889,0.7583,Params fijos,,RandomUnderSampler
MORTALIDAD,Baseline,GradientBoosting,0.7906,0.0623,0.8529,0.1162,0.8927,0.1331,0.8529,0.7896,Params fijos,,RandomUnderSampler
MORTALIDAD,Baseline,LogisticRegression,0.7954,0.0633,0.8468,0.1178,0.8899,0.1307,0.8468,0.7946,Params fijos,,RandomUnderSampler
MORTALIDAD,Baseline,GaussianNB,0.8369,0.0611,0.6336,0.1114,0.8342,0.2106,0.6336,0.8402,Params fijos,,RandomUnderSampler
MORTALIDAD,Baseline,ExtraTrees,0.7843,0.0606,0.8529,0.1132,0.8851,0.1242,0.8529,0.7832,Params fijos,,RandomUnderSampler
MORTALIDAD,Baseline,LightGBM,0.8021,0.0658,0.8529,0.1221,0.894,0.1274,0.8529,0.8013,Params fijos,,RandomUnderSampler
UCI,Baseline,XGBoost,0.8108,0.0841,0.8378,0.1528,0.8751,0.1024,0.8378,0.8102,Params fijos,,RandomUnderSampler
UCI,Baseline,RandomForest,0.7829,0.0739,0.8378,0.1358,0.8778,0.1137,0.8378,0.7817,Params fijos,,RandomUnderSampler
UCI,Baseline,GradientBoosting,0.7879,0.0771,0.8581,0.1415,0.8728,0.1042,0.8581,0.7865,Params fijos,,RandomUnderSampler
UCI,Baseline,LogisticRegression,0.794,0.0782,0.8446,0.1431,0.8715,0.1068,0.8446,0.7929,Params fijos,,RandomUnderSampler
UCI,Baseline,GaussianNB,0.9106,0.0627,0.2432,0.0997,0.8336,0.1538,0.2432,0.9244,Params fijos,,RandomUnderSampler
UCI,Baseline,ExtraTrees,0.8386,0.0897,0.7568,0.1603,0.876,0.1054,0.7568,0.8403,Params fijos,,RandomUnderSampler
UCI,Baseline,LightGBM,0.8009,0.0802,0.8378,0.1463,0.8735,0.1104,0.8378,0.8001,Params fijos,,RandomUnderSampler
MORTALIDAD,K-Fold (5),XGBoost,0.7944,0.0611,0.8168,0.1137,0.8832,0.1092,0.8168,0.794,±0.0127 (PR-AUC std),4.7,RandomUnderSampler
MORTALIDAD,K-Fold (5),RandomForest,0.7661,0.056,0.8506,0.1051,0.8838,0.1119,0.8506,0.7648,±0.0113 (PR-AUC std),4.7,RandomUnderSampler
MORTALIDAD,K-Fold (5),GradientBoosting,0.788,0.0588,0.8078,0.1096,0.8775,0.1051,0.8078,0.7876,±0.0072 (PR-AUC std),4.8,RandomUnderSampler
MORTALIDAD,K-Fold (5),LogisticRegression,0.7997,0.0627,0.8183,0.1165,0.8807,0.1155,0.8183,0.7994,±0.0148 (PR-AUC std),3.9,RandomUnderSampler
MORTALIDAD,K-Fold (5),GaussianNB,0.8134,0.0556,0.6509,0.1023,0.8279,0.1955,0.6509,0.8161,±0.0111 (PR-AUC std),4.0,RandomUnderSampler
MORTALIDAD,K-Fold (5),ExtraTrees,0.788,0.0597,0.8228,0.1113,0.8776,0.1045,0.8228,0.7874,±0.0083 (PR-AUC std),4.5,RandomUnderSampler
MORTALIDAD,K-Fold (5),LightGBM,0.7956,0.0611,0.8116,0.1136,0.8824,0.1137,0.8116,0.7954,±0.0151 (PR-AUC std),5.0,RandomUnderSampler
UCI,K-Fold (5),XGBoost,0.8209,0.0832,0.7744,0.1503,0.8702,0.1314,0.7744,0.8218,±0.0170 (PR-AUC std),1.7,RandomUnderSampler
UCI,K-Fold (5),RandomForest,0.8008,0.0788,0.8114,0.1435,0.875,0.1374,0.8114,0.8006,±0.0288 (PR-AUC std),1.5,RandomUnderSampler
UCI,K-Fold (5),GradientBoosting,0.8042,0.0757,0.7625,0.1377,0.8607,0.1152,0.7625,0.8051,±0.0085 (PR-AUC std),1.6,RandomUnderSampler
UCI,K-Fold (5),LogisticRegression,0.8147,0.0825,0.7928,0.1493,0.8721,0.1342,0.7928,0.8152,±0.0125 (PR-AUC std),1.2,RandomUnderSampler
UCI,K-Fold (5),GaussianNB,0.9216,0.0948,0.3182,0.1427,0.8423,0.1793,0.3182,0.9342,±0.0431 (PR-AUC std),1.2,RandomUnderSampler
UCI,K-Fold (5),ExtraTrees,0.8535,0.0961,0.7339,0.1699,0.8749,0.133,0.7339,0.856,±0.0299 (PR-AUC std),1.5,RandomUnderSampler
UCI,K-Fold (5),LightGBM,0.8242,0.0848,0.776,0.1529,0.87,0.1314,0.776,0.8252,±0.0077 (PR-AUC std),1.9,RandomUnderSampler
MORTALIDAD,GridSearch,XGBoost,0.926,0.1192,0.5616,0.1966,0.8989,0.1416,0.5616,0.9319,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50, 'rus__sampling_strategy': 0.3}",6.9,RandomUnderSampler
MORTALIDAD,GridSearch,RandomForest,0.8857,0.0968,0.7297,0.1709,0.8968,0.1332,0.7297,0.8883,"{'max_depth': 10, 'min_samples_leaf': 5, 'n_estimators': 100, 'rus__sampling_strategy': 0.5}",10.2,RandomUnderSampler
MORTALIDAD,GridSearch,GradientBoosting,0.8874,0.0972,0.7207,0.1712,0.8988,0.1327,0.7207,0.8902,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'rus__sampling_strategy': 0.5}",7.9,RandomUnderSampler
MORTALIDAD,GridSearch,LogisticRegression,0.9275,0.1211,0.5586,0.199,0.8905,0.1312,0.5586,0.9335,"{'C': 0.1, 'rus__sampling_strategy': 0.3}",4.4,RandomUnderSampler
MORTALIDAD,GridSearch,GaussianNB,0.8369,0.0611,0.6336,0.1114,0.8342,0.2106,0.6336,0.8402,"{'var_smoothing': 1e-05, 'rus__sampling_strategy': 1.0}",4.4,RandomUnderSampler
MORTALIDAD,GridSearch,ExtraTrees,0.8693,0.0873,0.7508,0.1563,0.893,0.1211,0.7508,0.8712,"{'max_depth': None, 'min_samples_leaf': 5, 'n_estimators': 100, 'rus__sampling_strategy': 0.5}",10.5,RandomUnderSampler
MORTALIDAD,GridSearch,LightGBM,0.9235,0.1192,0.5856,0.1981,0.9002,0.1384,0.5856,0.929,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50, 'rus__sampling_strategy': 0.3}",8.9,RandomUnderSampler
UCI,GridSearch,XGBoost,0.824,0.0869,0.8041,0.1569,0.878,0.1337,0.8041,0.8244,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'rus__sampling_strategy': 1.0}",1.9,RandomUnderSampler
UCI,GridSearch,RandomForest,0.9309,0.1313,0.4257,0.2006,0.8873,0.1191,0.4257,0.9414,"{'max_depth': 10, 'min_samples_leaf': 5, 'n_estimators': 100, 'rus__sampling_strategy': 0.3}",3.9,RandomUnderSampler
UCI,GridSearch,GradientBoosting,0.8185,0.0856,0.8176,0.155,0.8754,0.1167,0.8176,0.8185,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'rus__sampling_strategy': 1.0}",2.9,RandomUnderSampler
UCI,GridSearch,LogisticRegression,0.9246,0.1183,0.4189,0.1845,0.8722,0.1216,0.4189,0.9351,"{'C': 1.0, 'rus__sampling_strategy': 0.3}",1.5,RandomUnderSampler
UCI,GridSearch,GaussianNB,0.8957,0.0764,0.3716,0.1267,0.8344,0.1485,0.3716,0.9066,"{'var_smoothing': 1e-07, 'rus__sampling_strategy': 0.3}",1.5,RandomUnderSampler
UCI,GridSearch,ExtraTrees,0.8412,0.0917,0.7635,0.1638,0.8819,0.1175,0.7635,0.8428,"{'max_depth': None, 'min_samples_leaf': 5, 'n_estimators': 50, 'rus__sampling_strategy': 1.0}",3.8,RandomUnderSampler
UCI,GridSearch,LightGBM,0.8279,0.0894,0.8108,0.161,0.8784,0.1241,0.8108,0.8282,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50, 'rus__sampling_strategy': 1.0}",3.6,RandomUnderSampler
MORTALIDAD,Baseline,XGBoost,0.9651,0.1326,0.2102,0.1626,0.8681,0.0912,0.2102,0.9774,Params fijos,,SMOTETomek
MORTALIDAD,Baseline,RandomForest,0.9608,0.1385,0.2733,0.1838,0.8913,0.1246,0.2733,0.9721,Params fijos,,SMOTETomek
MORTALIDAD,Baseline,GradientBoosting,0.9672,0.1343,0.1892,0.1571,0.8707,0.0945,0.1892,0.98,Params fijos,,SMOTETomek
MORTALIDAD,Baseline,LogisticRegression,0.9231,0.112,0.5435,0.1857,0.8882,0.1256,0.5435,0.9293,Params fijos,,SMOTETomek
MORTALIDAD,Baseline,GaussianNB,0.8326,0.0618,0.6607,0.113,0.8422,0.2011,0.6607,0.8354,Params fijos,,SMOTETomek
MORTALIDAD,Baseline,ExtraTrees,0.9592,0.1295,0.2673,0.1745,0.8892,0.1148,0.2673,0.9705,Params fijos,,SMOTETomek
MORTALIDAD,Baseline,LightGBM,0.9655,0.1363,0.2132,0.1663,0.8707,0.1008,0.2132,0.9778,Params fijos,,SMOTETomek
UCI,Baseline,XGBoost,0.9496,0.1506,0.3176,0.2043,0.8536,0.1232,0.3176,0.9628,Params fijos,,SMOTETomek
UCI,Baseline,RandomForest,0.9531,0.159,0.3041,0.2088,0.8782,0.1263,0.3041,0.9666,Params fijos,,SMOTETomek
UCI,Baseline,GradientBoosting,0.9565,0.1471,0.2365,0.1813,0.8593,0.1255,0.2365,0.9715,Params fijos,,SMOTETomek
UCI,Baseline,LogisticRegression,0.9236,0.1139,0.4054,0.1778,0.8656,0.1204,0.4054,0.9344,Params fijos,,SMOTETomek
UCI,Baseline,GaussianNB,0.8673,0.0794,0.5203,0.1377,0.831,0.179,0.5203,0.8746,Params fijos,,SMOTETomek
UCI,Baseline,ExtraTrees,0.9495,0.1589,0.3446,0.2175,0.8787,0.1242,0.3446,0.9621,Params fijos,,SMOTETomek
UCI,Baseline,LightGBM,0.9539,0.155,0.2838,0.2005,0.8522,0.1225,0.2838,0.9678,Params fijos,,SMOTETomek
MORTALIDAD,K-Fold (5),XGBoost,0.9672,0.1149,0.1539,0.1309,0.8465,0.0862,0.1539,0.9806,±0.0049 (PR-AUC std),16.9,SMOTETomek
MORTALIDAD,K-Fold (5),RandomForest,0.9637,0.1339,0.229,0.1689,0.8779,0.1077,0.229,0.9757,±0.0018 (PR-AUC std),16.6,SMOTETomek
MORTALIDAD,K-Fold (5),GradientBoosting,0.9714,0.1234,0.1246,0.1235,0.8498,0.0863,0.1246,0.9853,±0.0050 (PR-AUC std),41.9,SMOTETomek
MORTALIDAD,K-Fold (5),LogisticRegression,0.9248,0.1114,0.524,0.1837,0.877,0.1193,0.524,0.9313,±0.0118 (PR-AUC std),15.4,SMOTETomek
MORTALIDAD,K-Fold (5),GaussianNB,0.8169,0.0584,0.6674,0.1072,0.838,0.1804,0.6674,0.8194,±0.0073 (PR-AUC std),15.5,SMOTETomek
MORTALIDAD,K-Fold (5),ExtraTrees,0.9641,0.1389,0.235,0.1743,0.8821,0.1092,0.235,0.9761,±0.0013 (PR-AUC std),17.2,SMOTETomek
MORTALIDAD,K-Fold (5),LightGBM,0.9687,0.1196,0.1472,0.1314,0.8455,0.0855,0.1472,0.9822,±0.0053 (PR-AUC std),17.9,SMOTETomek
UCI,K-Fold (5),XGBoost,0.9506,0.141,0.2777,0.1869,0.8363,0.105,0.2777,0.9646,±0.0175 (PR-AUC std),3.7,SMOTETomek
UCI,K-Fold (5),RandomForest,0.9548,0.1611,0.2861,0.2059,0.869,0.1229,0.2861,0.9687,±0.0244 (PR-AUC std),3.4,SMOTETomek
UCI,K-Fold (5),GradientBoosting,0.9568,0.1413,0.2205,0.172,0.8363,0.1037,0.2205,0.9722,±0.0175 (PR-AUC std),9.4,SMOTETomek
UCI,K-Fold (5),LogisticRegression,0.9253,0.1391,0.5117,0.2187,0.8698,0.1328,0.5117,0.9339,±0.0169 (PR-AUC std),2.8,SMOTETomek
UCI,K-Fold (5),GaussianNB,0.8659,0.0874,0.5891,0.1521,0.8429,0.2174,0.5891,0.8717,±0.0144 (PR-AUC std),2.7,SMOTETomek
UCI,K-Fold (5),ExtraTrees,0.9516,0.1559,0.3113,0.2077,0.8743,0.1273,0.3113,0.965,±0.0252 (PR-AUC std),3.2,SMOTETomek
UCI,K-Fold (5),LightGBM,0.9538,0.1462,0.2609,0.1873,0.8326,0.108,0.2609,0.9683,±0.0240 (PR-AUC std),4.5,SMOTETomek
MORTALIDAD,GridSearch,XGBoost,0.9491,0.1388,0.4144,0.208,0.8953,0.1432,0.4144,0.9578,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",603.1,SMOTETomek
MORTALIDAD,GridSearch,RandomForest,0.9611,0.142,0.2793,0.1883,0.8918,0.1257,0.2793,0.9723,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 200}",833.4,SMOTETomek
MORTALIDAD,GridSearch,GradientBoosting,0.9486,0.136,0.4084,0.2041,0.8949,0.1345,0.4084,0.9574,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",634.7,SMOTETomek
MORTALIDAD,GridSearch,LogisticRegression,0.9234,0.112,0.5405,0.1856,0.8883,0.1253,0.5405,0.9297,"{'C': 0.1, 'penalty': 'l2'}",105.1,SMOTETomek
MORTALIDAD,GridSearch,GaussianNB,0.8327,0.0618,0.6607,0.113,0.8422,0.2011,0.6607,0.8355,{'var_smoothing': 1e-05},72.4,SMOTETomek
MORTALIDAD,GridSearch,ExtraTrees,0.9603,0.1384,0.2793,0.1851,0.8907,0.1229,0.2793,0.9715,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'n_estimators': 200}",561.4,SMOTETomek
MORTALIDAD,GridSearch,LightGBM,0.9455,0.1341,0.4354,0.2051,0.8949,0.1437,0.4354,0.9539,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'num_leaves': 15}",694.9,SMOTETomek
UCI,GridSearch,XGBoost,0.9439,0.1467,0.3649,0.2093,0.8754,0.1314,0.3649,0.9559,"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",80.7,SMOTETomek
UCI,GridSearch,RandomForest,0.948,0.1472,0.3243,0.2025,0.8838,0.1257,0.3243,0.9609,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'n_estimators': 200}",81.6,SMOTETomek
UCI,GridSearch,GradientBoosting,0.9452,0.1469,0.3514,0.2072,0.8764,0.1386,0.3514,0.9576,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",82.2,SMOTETomek
UCI,GridSearch,LogisticRegression,0.9384,0.1495,0.4324,0.2222,0.8743,0.122,0.4324,0.9489,"{'C': 0.01, 'penalty': 'l2'}",13.9,SMOTETomek
UCI,GridSearch,GaussianNB,0.8673,0.0794,0.5203,0.1377,0.831,0.179,0.5203,0.8746,{'var_smoothing': 1e-06},10.2,SMOTETomek
UCI,GridSearch,ExtraTrees,0.9556,0.1569,0.2703,0.1985,0.8816,0.1207,0.2703,0.9698,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'n_estimators': 200}",83.3,SMOTETomek
UCI,GridSearch,LightGBM,0.9441,0.1397,0.3378,0.1976,0.8702,0.1251,0.3378,0.9567,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'num_leaves': 15}",91.5,SMOTETomek
MORTALIDAD,Baseline,XGBoost,0.9591,0.1386,0.2943,0.1885,0.8893,0.1272,0.2943,0.97,Params fijos,,SMOTEENN
MORTALIDAD,Baseline,RandomForest,0.9487,0.1251,0.3634,0.1862,0.8969,0.1302,0.3634,0.9583,Params fijos,,SMOTEENN
MORTALIDAD,Baseline,GradientBoosting,0.9616,0.142,0.2733,0.1869,0.8901,0.124,0.2733,0.9729,Params fijos,,SMOTEENN
MORTALIDAD,Baseline,LogisticRegression,0.9165,0.1096,0.5856,0.1846,0.891,0.1289,0.5856,0.9219,Params fijos,,SMOTEENN
MORTALIDAD,Baseline,GaussianNB,0.8254,0.06,0.6697,0.1101,0.8377,0.2346,0.6697,0.8279,Params fijos,,SMOTEENN
MORTALIDAD,Baseline,ExtraTrees,0.9521,0.1339,0.3604,0.1953,0.8899,0.1203,0.3604,0.9618,Params fijos,,SMOTEENN
MORTALIDAD,Baseline,LightGBM,0.9599,0.1441,0.3003,0.1947,0.8893,0.1237,0.3003,0.9707,Params fijos,,SMOTEENN
UCI,Baseline,XGBoost,0.9488,0.1478,0.3176,0.2017,0.8603,0.1127,0.3176,0.9619,Params fijos,,SMOTEENN
UCI,Baseline,RandomForest,0.9494,0.1541,0.3311,0.2103,0.8824,0.1273,0.3311,0.9622,Params fijos,,SMOTEENN
